x,y,z
5.17579,4.03358,-0.602214
5.32558,3.99498,-0.611532
5.98077,1.18535,-0.556886
6.0929,-1.41194,-0.572222
2.58266,5.28692,-0.605458
5.00765,3.7112,-0.643609
4.54107,3.2799,-0.574589
4.53521,3.23351,-0.571111
6.46808,2.86433,-0.735564
6.76892,2.84969,-0.765129
5.96483,1.2224,-0.627849
5.9732,1.18597,-0.627958
5.96865,1.14705,-0.626653
6.1035,-1.41224,-0.647088
2.54214,-5.13293,-0.588393
2.50362,-5.13413,-0.586654
3.80625,2.96589,-0.550104
3.8291,2.94611,-0.55083
3.86291,2.93458,-0.55325
4.56285,3.33589,-0.650899
4.58001,3.30551,-0.650415
4.55171,3.24277,-0.643155
4.57314,3.21593,-0.643397
4.6042,3.19573,-0.645091
5.55553,2.92095,-0.72701
5.57511,2.88772,-0.727252
5.69971,2.86411,-0.739474
5.79813,2.86917,-0.750485
5.85578,2.85311,-0.75593
5.96642,1.2206,-0.704262
5.94556,1.17837,-0.700753
5.96925,1.14505,-0.70281
6.0912,-1.37222,-0.723017
6.06816,-1.40621,-0.721202
6.07777,-1.44778,-0.723501
2.50583,-5.0642,-0.650657
2.49036,-5.11161,-0.655013
1.45214,4.05656,-0.538896
1.47565,4.04385,-0.538365
1.50043,4.03472,-0.538365
2.25661,3.46756,-0.515926
3.33866,3.86916,-0.646311
4.08941,3.31319,-0.666759
3.90977,3.05021,-0.625997
3.95559,3.0086,-0.627457
5.40973,2.84781,-0.78068
5.95087,2.81324,-0.843483
5.95097,1.22064,-0.775502
5.94377,1.18121,-0.77351
5.95674,1.14584,-0.774307
2.5776,-5.123,-0.72996
2.51928,-5.08454,-0.72186
2.49021,-5.10436,-0.722524
2.473,-5.14903,-0.726906
1.44479,4.02812,-0.588856
1.4722,4.02661,-0.590016
1.49791,4.02028,-0.590451
2.01686,3.82248,-0.595093
2.13463,3.87137,-0.609597
2.1327,3.18626,-0.523584
2.1511,3.17148,-0.523294
2.15651,3.13783,-0.519668
2.17233,3.11967,-0.518798
2.18972,3.10385,-0.518363
